"HCLTraits","Traits","HCLs","Models","Means"
"CBaya.C","CBaya","C","BL",0.126333333333333
"CBaya.H","CBaya","H","BRR",0.109888888888889
"CBaya.L","CBaya","L","RKHS",0.121222222222222
"CPBrote.C","CPBrote","C","RKHS",0.579444444444444
"CPBrote.H","CPBrote","H","RKHS",0.308888888888889
"CPBrote.L","CPBrote","L","RKHS",0.448777777777778
"CPFlor.C","CPFlor","C","RKHS",0.609444444444444
"CPFlor.H","CPFlor","H","RKHS",0.848222222222222
"CPFlor.L","CPFlor","L","RKHS",0.634222222222222
"CPTuber.C","CPTuber","C","RKHS",0.534111111111111
"CPTuber.H","CPTuber","H","RKHS",0.438555555555556
"CPTuber.L","CPTuber","L","RKHS",0.431
"CPulpa.C","CPulpa","C","RKHS",0.464666666666667
"CPulpa.H","CPulpa","H","RKHS",0.341222222222222
"CPulpa.L","CPulpa","L","RKHS",0.460777777777778
"CSBrote.C","CSBrote","C","BA",0.231333333333333
"CSBrote.H","CSBrote","H","BA",0.202
"CSBrote.L","CSBrote","L","RKHS",0.318444444444444
"CSPulpa.C","CSPulpa","C","RKHS",0.2
"CSPulpa.H","CSPulpa","H","BL",0.0687777777777778
"CSPulpa.L","CSPulpa","L","RKHS",0.286222222222222
"CSTuber.C","CSTuber","C","BL",0.214444444444444
"CSTuber.H","CSTuber","H","BC",0.207888888888889
"CSTuber.L","CSTuber","L","RKHS",0.344333333333333
"CTallo.C","CTallo","C","RKHS",0.662111111111111
"CTallo.H","CTallo","H","RKHS",0.466666666666667
"CTallo.L","CTallo","L","RKHS",0.708
