Samples,CTallo.L,CTallo.C,CTallo.H,CPFlor.L,CPFlor.C,CPFlor.H,CBaya.L,CBaya.C,CBaya.H,CPTuber.L,CPTuber.C,CPTuber.H,CSTuber.L,CSTuber.C,CSTuber.H,CPulpa.L,CPulpa.C,CPulpa.H,CSPulpa.L,CSPulpa.C,CSPulpa.H,CPBrote.L,CPBrote.C,CPBrote.H,CSBrote.L,CSBrote.C,CSBrote.H
15060021,28,16,359,37,43,331,44,26,116,29,8,313,80,41,84,82,35,93,27,22,344,26,20,307,95,7,318
15060025,54,44,117,52,45,305,66,48,118,76,47,85,27,19,5,94,5,52,42,34,344,26,20,307,95,7,318
15060027,28,16,359,36,39,321,54,44,117,35,29,17,75,35,83,92,6,71,30,37,344,26,20,307,95,7,318
15060039,54,44,117,36,55,329,50,28,115,34,28,21,80,42,96,92,6,71,32,43,342,45,57,327,95,7,318
15060042,28,16,359,45,57,327,66,48,118,50,26,342,80,42,96,92,6,71,27,23,344,26,20,307,94,5,52
15060056,54,44,117,89,8,95,66,48,118,76,47,85,81,29,350,92,3,32,27,28,344,26,20,307,95,7,318
15060063,28,16,359,36,55,329,71,50,115,35,29,17,79,32,6,84,18,90,41,37,12,39,57,339,95,7,318
15060070,28,16,359,36,55,329,54,44,117,29,8,313,80,42,96,92,6,71,31,33,324,26,20,307,95,7,318
15060081,54,44,117,52,45,305,58,32,112,80,41,86,30,29,7,94,5,52,30,22,344,26,20,307,95,5,344
15060085,54,44,117,33,58,312,58,45,128,30,11,328,76,26,83,94,5,52,27,28,316,26,20,307,95,5,344
15060087,28,16,359,41,60,332,50,28,115,30,11,328,81,32,84,94,4,41,30,28,345,26,20,307,95,5,344
15060097,54,44,117,58,45,310,58,45,128,75,35,83,43,42,85,94,5,52,42,22,344,81,26,337,94,4,41
15060102,54,44,117,89,8,95,54,44,117,30,29,7,80,29,96,92,6,71,37,43,331,26,20,307,95,7,318
15060112,54,44,117,41,58,318,44,26,116,30,29,7,75,35,83,84,18,90,33,33,331,26,20,307,95,7,318
15060114,54,44,117,48,40,314,54,44,117,43,33,10,75,35,83,92,6,71,30,36,333,48,41,320,94,5,52
15060120,28,16,359,57,46,323,71,50,115,80,42,96,48,38,6,92,6,71,42,33,344,52,55,328,95,7,318
15060121,54,44,117,52,45,305,58,45,128,28,16,359,76,41,86,92,6,71,29,22,344,26,20,307,95,7,318
15060122,54,44,117,66,36,324,44,26,116,43,33,10,79,36,83,84,18,90,43,36,12,31,33,324,95,7,318
15060138,28,16,359,36,39,321,44,26,116,43,39,17,79,36,83,92,6,71,37,43,328,26,20,307,95,7,318
15060160,54,44,117,36,39,321,58,45,128,43,33,10,81,32,84,84,18,90,42,36,10,26,20,307,95,5,344
15060187,28,16,359,39,57,339,54,44,117,30,16,3,82,35,93,82,35,93,27,28,344,41,42,316,96,7,318
15060188,54,44,117,45,57,327,58,45,128,66,40,69,30,11,328,94,5,52,27,30,344,26,20,307,95,7,318
15060190,54,44,117,36,39,321,71,50,115,34,32,41,73,31,53,84,18,90,37,36,316,26,20,307,95,7,318
15060191,54,44,117,36,55,329,69,59,106,80,41,86,41,37,12,84,26,94,42,28,344,26,20,307,95,7,318
15060214,54,44,117,36,39,321,54,44,117,76,47,85,41,37,12,92,6,71,42,36,344,33,26,307,95,7,318
15060313,54,44,117,36,55,329,50,28,115,77,45,83,43,33,10,84,18,90,50,36,344,95,7,318,95,4,352
15060320,54,44,117,45,57,327,66,48,118,80,42,96,48,39,21,84,18,90,42,28,344,39,53,346,94,4,41
15060345,54,44,117,48,41,320,71,50,115,80,42,96,43,39,17,84,26,94,37,23,344,44,53,341,95,7,318
15060383,54,44,117,61,43,319,53,38,132,75,35,83,50,29,17,80,42,96,41,34,345,62,50,338,96,7,318
15060420,54,44,117,57,46,323,58,45,128,42,37,18,75,35,83,84,18,90,42,36,345,26,20,306,95,7,318
