"Registro","CTallo.L","CTallo.C","CPFlor.L","CPFlor.C"
15060006,28,16,52,45
15060013,28,6,54,49
15061904,28,16,36,55
15060016,28,16,45,57
15060021,28,16,37,43
15060025,54,44,52,45
15060027,28,16,36,39
15062333,28,16,NA,NA
15060039,54,44,36,55
15062036,54,44,52,55
15060042,28,16,45,57
15062038,54,44,43,58
15060050,54,44,54,49
15060056,54,44,89,8
15061905,58,45,41,42
15060063,28,16,36,55
15060070,28,16,36,55
15062039,54,44,37,43
15060072,54,44,49,57
15061906,28,16,52,45
15061907,66,48,89,8
15060081,54,44,52,45
15062331,54,44,45,57
15060082,54,44,36,39
15062332,54,44,44,53
15061908,28,16,44,53
15060085,54,44,33,58
15061909,54,44,36,55
15060087,28,16,41,60
15060090,54,44,41,60
15060097,54,44,58,45
15060100,54,44,89,8
15060101,54,44,89,8
15060102,54,44,89,8
15061910,54,44,36,39
15060110,28,16,36,55
15060112,54,44,41,58
15060114,54,44,48,40
15060120,28,16,57,46
15060121,54,44,52,45
15060122,54,44,66,36
15061911,54,44,54,49
15060138,28,16,36,39
15062046,54,44,45,57
15061912,54,44,57,46
15060160,54,44,36,39
15061915,54,44,54,49
15062334,54,44,43,58
15062050,54,44,52,55
15060187,28,16,39,57
15061916,54,44,36,39
15062335,54,44,39,57
15060188,54,44,45,57
15060190,54,44,36,39
15060191,54,44,36,55
15060214,54,44,36,39
15060215,54,44,45,57
15060313,54,44,36,55
15060320,54,44,45,57
15060345,54,44,48,41
15062337,54,44,36,55
15062051,54,44,36,55
15062052,54,44,36,55
15061917,54,44,43,58
15060383,54,44,61,43
15062338,54,44,36,55
15062339,54,44,36,55
15060420,54,44,57,46
15062053,54,44,45,57
15062363,54,44,36,55
15060467,54,44,36,55
15060536,54,44,67,36
15060543,54,44,57,46
15060570,54,44,42,39
15060797,54,44,36,39
15061918,54,44,45,57
15060846,54,44,56,48
15060907,28,16,43,58
15060909,54,44,61,43
15060933,54,44,43,58
15060964,54,44,36,39
15061007,54,44,43,58
15061011,54,44,43,58
15061122,54,44,41,60
15061204,54,44,53,43
15061213,54,44,36,55
15061215,54,44,43,58
15061216,54,44,89,8
15061225,54,44,36,55
15061226,54,44,41,42
15061228,28,16,43,58
15061235,54,44,52,45
15061236,54,44,52,45
15061237,54,44,54,39
15061239,54,44,53,43
15061244,54,44,53,43
15061255,54,44,41,42
15061256,54,44,36,55
15061257,28,16,41,42
15061258,28,16,53,43
