Samples,CSPulpa.C
15062362,36
15061954,43
15062339,34
15061482,33
15062104,36
15061707,38
15061567,43
15061964,22
15061488,36
15061438,26
15061814,36
15061721,37
15061601,23
15061719,22
15061629,22
15061477,33
15061761,22
15061336,36
15061386,33
15061305,30
15061676,36
15061523,23
15061763,36
15061385,23
15062133,22
15061333,42
15061627,28
15061731,38
15061641,33
15061330,43
15061626,22
15062147,26
15061487,36
15060536,33
15061261,34
15061389,33
15060101,23
15061397,33
15061551,36
15061539,28
15062115,36
15061361,22
15061669,37
15062359,33
15061690,36
15061308,34
15062372,37
15061342,33
15061281,38
15061932,36
15061370,39
15061630,22
15061789,36
15061666,34
15062143,23
15061297,11
15061907,38
15061538,22
15062371,33
15061685,33
15062081,36
15061969,36
15061498,42
15061271,36
15062344,28
15061279,22
15062144,36
15061722,43
15061768,33
15061557,37
15061434,58
15060072,33
15061405,36
15062052,22
15062098,42
15061916,55
15061377,38
15061633,28
15061702,22
15061614,36
15061368,28
15061520,22
15060082,36
15061656,33
15061331,36
15061327,38
15062074,33
15061300,36
15061776,36
15061462,36
15061302,36
15061957,36
15061514,28
15060909,28
15062063,26
15060090,28
15061301,36
15061423,28
15061453,36
15060215,22
15062119,36
15061537,28
15061667,33
15062123,33
15061710,28
15061258,23
15061443,33
15060050,33
15060110,22
15062053,28
15061764,33
15061799,33
