Samples,CSPulpa.L
15061614,32
15061337,31
15062067,41
15061752,27
15061930,27
15061566,27
15061773,30
15061575,27
15061344,30
15061282,27
15061926,27
15061906,27
15061665,29
15061397,43
15060187,37
15061534,33
15062362,31
15061521,30
15061633,30
15061659,27
15061673,27
15062356,27
15061361,41
15061729,30
15061755,43
15061496,27
15062368,37
15062339,41
15061577,37
15062136,27
15061529,31
15061396,27
15061482,31
15061814,30
15061769,41
15061610,27
15062147,30
15061358,30
15061550,37
15061271,42
15060214,27
15062074,42
15061507,27
15061383,27
15062149,37
15060042,27
15061647,27
15061477,31
15061586,42
15062347,42
15061958,50
15062346,30
15061639,27
15061757,50
15061299,42
15061653,50
15061761,27
15062146,27
15061655,37
15061329,36
15061535,29
15061578,42
15061730,31
15061627,42
15061500,41
15061717,32
15062122,27
15061435,27
15061706,30
15061624,27
15060121,30
15061423,27
15061488,27
15061916,33
15061487,27
15061281,27
15061937,31
15061493,27
15061296,37
15061649,30
15061307,27
15062133,27
15062350,37
15061338,29
15060027,27
15061011,27
15061795,27
15062358,29
15061216,43
15061300,42
15061462,50
15061516,30
15061394,27
15061453,31
15062123,30
15060110,31
15061964,27
15061542,41
15060570,32
15061785,42
15061766,30
15060021,27
15061364,36
15060050,50
15061637,27
15062369,36
15061345,43
15061966,37
15061737,42
15060112,31
15061751,27
15061567,50
